No.,velocity,height,length,J_angle,V_angle,distance from foul line,score,,,Meter per pixel,,Height in meter,Velocity in meter per second,distance from foul line(m)
2,9925.786133,571.0633545,854.8949585,34.4950943,35.01849365,545.8839,82.59,,,0.002924335879,,1.669981057,29.02633252,1.596347875
3,11611.92383,681.8572998,877.6213989,49.56702423,48.19233704,692.7305,78.19,,,0.002848608754,,1.942344673,33.07782787,1.973318167
4,7677.353516,680.0888672,825.7876587,35.89113235,44.55412674,650.644,79.66,,,0.003027412645,,2.058909636,23.24251711,1.969767873
5,10600.0957,612.8528442,775,37.91068649,34.43901443,210.8842,80.64,,,0.003225806452,,1.976944659,34.19385711,0.6802716129
7,11724.52832,601.6763306,957.2008057,40.30928802,39.31167603,603.5127,78.44,,,0.002611782173,,1.571447514,30.62191405,1.576243711
8,11580.63477,631.111084,835.4603882,44.7432785,37.14318085,710.4828,80.43,,,0.002992362098,,1.888512887,34.65345254,2.126021802
9,9553.754883,667.324707,974.1327515,40.52567673,39.55300522,491.3644,75.7,,,0.002566385327,,1.712612337,24.51861635,1.261030386
11,12230.20117,640.5386963,935.4262695,44.04979706,38.08255386,812.3802,81.44,,,0.002672578354,,1.711889855,32.68617092,2.171149738
12,9704.135742,656.925293,914.1867065,31.54144287,32.1884613,507.9108,84.18,,,0.002734671137,,1.796474638,26.53761992,1.388969005
13,10347.72852,639.4140625,885.7300415,52.08787918,49.47812271,721.5232,74.6,,,0.002822530436,,1.804765652,29.20677868,2.036521192
14,11935.20703,598.9556885,923.6010742,37.3434639,38.1061058,515.1281,88.17,,,0.002706796332,,1.621251061,32.30617461,1.394346852
15,12524.86621,719.6735229,964.5731812,37.85548782,37.89223099,660.6212,78.94,,,0.002591819935,,1.865264184,32.46219793,1.712211196
16,10391.78809,717.8768311,913.147644,45.55191803,34.35136795,846.8179,82.81,,,0.002737782894,,1.965390908,28.45045966,2.318403561
18,12176.34375,616.7358398,915.7015991,43.88850021,40.62943268,762.8635,85.79,,,0.002730147029,,1.683779521,33.24320871,2.082729518
19,10291.69629,754.3504639,936.5731812,36.66675186,43.63116837,677.6586,82.82,,,0.00266930556,,2.013591888,27.47168213,1.808877869
21,11813.64844,612.9575195,736.9003906,34.54410934,34.16814041,442.9464,83.65,,,0.003392588784,,2.079512806,40.07885118,1.502734988
22,10674.44531,637.204834,815.6026611,46.96824265,47.03440475,627.1554,80.75,,,0.003065218052,,1.95317176,32.71950246,1.922368053
23,10941.69434,726.831543,856.7200317,34.47249603,38.01112366,474.5184,86.32,,,0.002918106158,,2.120971601,31.92902562,1.384695065
24,11082.36426,732.9262085,849.428833,42.29556274,48.27644348,767.9156,87.82,,,0.002943154156,,2.157114816,32.61710642,2.26009399
26,14060.63281,629.6998901,1009.46167,38.90563965,38.8041153,822.3749,82.29,,,0.002476567535,,1.559494305,34.82210675,2.036666979
30,8733.704102,637.3255615,908.9016724,33.14902878,40.78335571,439.5162,83.62,,,0.00275057256,,1.753010201,24.02268685,1.2089212
31,9573.104492,593.5070801,858.2145996,44.78855896,45.49558258,817.0471,82.55,,,0.002913024319,,1.728900558,27.8866862,2.380078072
32,8804.055664,777.2446289,932.7414551,42.79018784,37.81429291,968.3439,87.15,,,0.002680271137,,2.083226345,23.59725628,2.595424206
33,10927.28516,685.14,844.1806641,40.13525009,42.86931992,428.0909,84.64,,,0.002961451389,,2.029008848,32.3606238,1.26777039
34,9582.850586,724.8118896,891.4147949,37.04278946,42.55441284,391.8752,84.77,,,0.002804530522,,2.032757067,26.87539695,1.099025959
35,11121.36035,703.425354,1046.168823,39.29785538,35.12266541,769.8196,83.48,,,0.002389671671,,1.680955641,26.57639978,1.83961609
36,10177.57324,625.4848022,764.4246216,32.82527924,36.49602127,351.0062,86.67,,,0.003270433643,,2.04560654,33.28507794,1.147942485
37,9793.738281,653.46,860.7401123,48.02667236,37.15112305,543.4209,82.81,,,0.002904477164,,1.897968043,28.44568918,1.578353594
38,14725.76855,652.4280396,945.5661621,38.88676453,42.246315,521.9108,87.73,,,0.002643918639,,1.724966654,38.93373395,1.379889692
39,7864.755859,631.5554199,808.8364868,40.99206543,42.6308136,829.2167,77.53,,,0.003090859575,,1.952049117,24.30885595,2.562992377
40,11466.0498,644.0997314,1055.368774,41.81999588,42.91307449,750.9982,82.85,,,0.00236884022,,1.52576935,27.16123994,1.778994741
